PassengerId,Survived
892,1
893,1
894,0
895,0
896,1
897,0
898,1
899,1
900,1
901,1
902,0
903,0
904,0
905,0
906,1
907,0
908,0
909,1
910,0
911,0
912,0
913,0
914,0
915,0
916,0
917,0
918,0
919,0
920,0
921,1
922,0
923,0
924,1
925,0
926,0
927,0
928,1
929,0
930,0
931,1
932,1
933,1
934,1
935,0
936,0
937,1
938,0
939,1
940,0
941,0
942,0
943,0
944,0
945,1
946,0
947,0
948,1
949,0
950,1
951,1
952,1
953,0
954,0
955,0
956,1
957,0
958,0
959,1
960,0
961,0
962,0
963,1
964,0
965,1
966,1
967,1
968,1
969,0
970,1
971,0
972,0
973,1
974,0
975,0
976,0
977,0
978,0
979,0
980,1
981,1
982,0
983,0
984,1
985,1
986,0
987,1
988,0
989,1
990,0
991,0
992,0
993,0
994,1
995,1
996,0
997,0
998,0
999,0
1000,1
1001,0
1002,0
1003,0
1004,1
1005,1
1006,0
1007,0
1008,0
1009,1
1010,1
1011,0
1012,1
1013,1
1014,1
1015,0
1016,1
1017,0
1018,1
1019,0
1020,1
1021,1
1022,1
1023,1
1024,0
1025,0
1026,0
1027,0
1028,0
1029,0
1030,0
1031,0
1032,0
1033,0
1034,1
1035,1
1036,0
1037,0
1038,1
1039,0
1040,0
1041,1
1042,1
1043,1
1044,1
1045,1
1046,0
1047,0
1048,0
1049,1
1050,0
1051,1
1052,1
1053,0
1054,0
1055,1
1056,1
1057,1
1058,1
1059,0
1060,0
1061,0
1062,0
1063,0
1064,1
1065,0
1066,0
1067,1
1068,0
1069,0
1070,0
1071,0
1072,0
1073,0
1074,0
1075,0
1076,1
1077,0
1078,1
1079,0
1080,1
1081,1
1082,1
1083,1
1084,0
1085,0
1086,0
1087,0
1088,0
1089,0
1090,1
1091,0
1092,0
1093,0
1094,0
1095,1
1096,0
1097,1
1098,1
1099,1
1100,0
1101,0
1102,0
1103,0
1104,0
1105,1
1106,0
1107,1
1108,0
1109,0
1110,1
1111,1
1112,1
1113,0
1114,0
1115,0
1116,0
1117,0
1118,1
1119,0
1120,1
1121,0
1122,1
1123,0
1124,0
1125,1
1126,0
1127,1
1128,1
1129,0
1130,0
1131,0
1132,0
1133,1
1134,1
1135,1
1136,0
1137,0
1138,1
1139,0
1140,1
1141,0
1142,0
1143,0
1144,1
1145,1
1146,0
1147,0
1148,0
1149,1
1150,0
1151,0
1152,0
1153,0
1154,0
1155,1
1156,0
1157,0
1158,0
1159,0
1160,1
1161,1
1162,1
1163,1
1164,1
1165,1
1166,1
1167,1
1168,1
1169,1
1170,0
1171,0
1172,0
1173,0
1174,0
1175,0
1176,1
1177,0
1178,0
1179,1
1180,0
1181,1
1182,1
1183,0
1184,1
1185,0
1186,0
1187,0
1188,0
1189,1
1190,0
1191,1
1192,0
1193,0
1194,0
1195,1
1196,0
1197,1
1198,0
1199,1
1200,0
1201,0
1202,1
1203,1
1204,1
1205,1
1206,1
1207,1
1208,0
1209,1
1210,0
1211,0
1212,1
1213,0
1214,1
1215,1
1216,0
1217,0
1218,0
1219,1
1220,0
1221,0
1222,1
1223,0
1224,0
1225,0
1226,1
1227,0
1228,1
1229,0
1230,1
1231,0
1232,1
1233,0
1234,1
1235,0
1236,1
1237,0
1238,1
1239,0
1240,0
1241,1
1242,0
1243,0
1244,1
1245,1
1246,0
1247,1
1248,1
1249,1
1250,0
1251,1
1252,0
1253,1
1254,0
1255,0
1256,0
1257,0
1258,1
1259,0
1260,0
1261,0
1262,0
1263,0
1264,0
1265,0
1266,0
1267,0
1268,1
1269,1
1270,0
1271,1
1272,1
1273,0
1274,1
1275,0
1276,1
1277,0
1278,1
1279,1
1280,0
1281,0
1282,0
1283,0
1284,0
1285,1
1286,1
1287,0
1288,0
1289,0
1290,1
1291,0
1292,1
1293,1
1294,0
1295,1
1296,0
1297,1
1298,0
1299,1
1300,1
1301,1
1302,1
1303,0
1304,0
1305,0
1306,0
1307,0
1308,1
1309,0
